297	KAY|항공코드	와카야 공항					와카야 
298	AAA|항공코드	아나 공항					아나 
299	APK|항공코드	아파타키 공항					아파타키 
300	AXR|항공코드	아루투아 공항					아루투아 
301	HIX|항공코드	아투오나 공항					아투오나 
302	PPT|항공코드	파아 공항					파아 
303	FHZ|항공코드	파카히나 공항					파카히나 
304	FAV|항공코드	파카라바 공항					파카라바 
305	FGU|항공코드	팡가토 공항					팡가토 
306	HUH|항공코드	파레 공항					파레 
307	HOI|항공코드	하오 공항					하오 
308	HHZ|항공코드	히쿠에루 공항					히쿠에루 
309	KKR|항공코드	카우쿠라 공항					카우쿠라 
310	MKP|항공코드	마케모 공항					마케모 
311	XMH|항공코드	머나이 공항					머나이 
312	MVT|항공코드	마타이바 공항					마타이바 
313	MAU|항공코드	모피티 공항					모피티 
314	BOB|항공코드	모투 무테 공항					모투 무테 
315	NAU|항공코드	나푸카 공항					나푸카 
316	NHV|항공코드	누쿠 히바 공항					누쿠 히바 
317	NUK|항공코드	누쿠타바크 공항					누쿠타바크 
318	PKP|항공코드	푸카푸카 공항					푸카푸카 
319	PUK|항공코드	푸카루아 공항					푸카루아 
320	RGI|항공코드	랑지로아 공항					랑지로아 
321	REA|항공코드	레아오 아일랜드 공항					레아오 아일랜드 
322	RUR|항공코드	루루투 공항					루루투 
323	RVV|항공코드	라이바바에 공항 	라이루아				라이바바에 
324	TKP|항공코드	타카포토 공항					타카포토 
325	TKX|항공코드	타카로아 공항					타카로아 
326	TKV|항공코드	타타코토 공항					타타코토 
327	MOZ|항공코드	테마에 공항					테마에 
328	TTI|항공코드	테티아로아 공항					테티아로아 
329	TIH|항공코드	타케하우 공항					타케하우 
330	GMR|항공코드	톳트제리 공항					톳트제리 
331	TUB|항공코드	투부아이 공항					투부아이 
332	UAP|항공코드	우아 파우 공항					우아 파우 
333	UAH|항공코드	우아 후카 공항					우아 후카 
334	RFP|항공코드	우투로아 공항					우투로아 
335	VHZ|항공코드	버히타이 공항					버히타이 
336	SUI|항공코드	바부세리 공항					바부세리 
337	BUS|항공코드	바투미 공항					바투미 
338	KUT|항공코드	코핏나리 공항					코핏나리 
339	TBS|항공코드	트빌리시 국제공항 	노보	알렉세이프카			트빌리시 
340	GUM|항공코드	안토니오 보르냐 원 팟 국제공항					안토니오 보르냐 원 팟 
341	HKG|항공코드	홍콩 국제공항  	첵랍콕				홍콩 
342	AGX|항공코드	아가티 비행장					아가티 비행장
343	AKD|항공코드	아콜라 공항					아콜라 
344	IXV|항공코드	알롱 공항					알롱 
345	LKO|항공코드	아마우시 공항					아마우시 
346	IXB|항공코드	바그도그라 공항					바그도그라 
347	IXE|항공코드	바즈페 공항					바즈페 
348	RGH|항공코드	발루갓 공항					발루갓 
349	IXD|항공코드	밤라울리 공항					밤라울리 
350	TCR|항공코드	투티코린 공항					투티코린 
351	HYD|항공코드	라지브간디 국제공항 	하이데라바드				라지브간디 
352	BEP|항공코드	벨라리 공항					벨라리 
353	BHU|항공코드	바브하가 공항					바브하가 
354	BUP|항공코드	비자냐 공군기지					비자냐 공군기지
355	BHO|항공코드	라자 보 공항 	보팔				라자 보 
356	KUU|항공코드	분타르 공항					분타르 
357	BBI|항공코드	비주 타르나익 공항 	부다네스와				비주 타르나익 
358	PAB|항공코드	빌라스푸르 공항					빌라스푸르 
359	IXR|항공코드	버사 문다 공항	란치				버사 문다 
360	GAU|항공코드	보리쟈 공항					보리쟈 
361	CCJ|항공코드	칼리컷 국제공항  	카리푸르				칼리컷 
362	CBD|항공코드	카니코바 공군기지					카니코바 공군기지
363	DIB|항공코드	츄부아 공항					츄부아 
364	KNU|항공코드	챠케리 공군기지					챠케리 공군기지
365	IXC|항공코드	찬디가르 공항					찬디가르 
366	MAA|항공코드	첸나이 국제공항					첸나이 
367	BOM|항공코드	채해트라피티 시버지 국제공항					채해트라피티 시버지 
368	IXU|항공코드	티칼타나 공항					티칼타나 
369	COK|항공코드	코친 국제공항					코친 
370	COH|항공코드	쿠치베하 공항					쿠치베하 
371	CDP|항공코드	쿠다파 공항					쿠다파 
372	GOI|항공코드	다보림 공항					다보림 
373	NMB|항공코드	담만 공항					담만 
374	DAE|항공코드	다파리조 공항					다파리조 
375	DEP|항공코드	데파리조 공항					데파리조 
376	IDR|항공코드	데비 아힐야바이 홀카 국제공항 	인도레				데비 아힐야바이 홀카 
377	DBD|항공코드	단바드 공항					단바드 
378	DMU|항공코드	디마푸르 공항					디마푸르 
379	DIU|항공코드	디우 공항					디우 
380	DHM|항공코드	개갈 공항					개갈 
381	IXY|항공코드	간디햄 	칸들라				간디햄 
382	ISK|항공코드	간디나가르 공항					간디나가르 
383	GAY|항공코드	가야 공항					가야 
384	GOP|항공코드	고라크푸르 공군기지					고라크푸르 공군기지
385	JGA|항공코드	고바르단푸르 공항					고바르단푸르 
386	GUX|항공코드	구나 공항					구나 
387	GWL|항공코드	관리오르 공항  	마해라즈퍼 공군기지				관리오르 
388	HSS|항공코드	히사르 공항					히사르 
389	HBX|항공코드	후블리					후블리
390	IMF|항공코드	임팔 시공항					임팔 시
391	DEL|항공코드	인디라 간디 국제공항					인디라 간디 
392	JLR|항공코드	자발푸르 공항					자발푸르 
393	JGB|항공코드	자그달푸르 공항					자그달푸르 
394	JSA|항공코드	자이살머 공항					자이살머 
395	PYB|항공코드	제이포르 공항					제이포르 
396	JDH|항공코드	조드푸르 공항					조드푸르 
397	DED|항공코드	졸리 그란트 공항					졸리 그란트 
398	IXK|항공코드	저너가더 공항	케쇼드				저너가더 
399	IXH|항공코드	카일라샤하 공항					카일라샤하 
400	IXQ|항공코드	카말푸르 공항					카말푸르 
401	KNU|항공코드	칸푸르 공항					칸푸르 
402	HJR|항공코드	카주라호 공항					카주라호 
403	AGR|항공코드	케리아 공항 	애본	파크			케리아 
404	IXN|항공코드	코와이 공항					코와이 
405	KLH|항공코드	콜하푸르 공항					콜하푸르 
406	KTU|항공코드	코타 공항					코타 
407	IXS|항공코드	쿰비히그람 공항					쿰비히그람 
408	IXL|항공코드	레 공군기지					레 공군기지
409	IXI|항공코드	릴라바리 공항					릴라바리 
410	PNQ|항공코드	로헤가온 공항					로헤가온 
411	PAT|항공코드	록 나약 자야 프라카쉬 나라얀 공항 	파트나				록 나약 자야 프라카쉬 나라얀 
412	IXM|항공코드	마두라이 공항					마두라이 
413	LDA|항공코드	말다 공항					말다 
