MHX|항공코드,마니히키 아일랜드 공항,마니히키 아일랜드 ,,,
MUK|항공코드,마우케 공항,마우케 ,,,
RAR|항공코드,라로통가 국제공항,라로통가 ,,,
PYE|항공코드,통가레바 공항,통가레바 ,,,
FNJ|항공코드,순안 국제공항  ,순안 ,평양,,
BFJ|항공코드,바 공항,바 ,,,
CST|항공코드,케스트어웨이 아일랜드 공항,케스트어웨이 아일랜드 ,,,
ICI|항공코드,시시아 공항,시시아 ,,,
BVF|항공코드,다마 공항,다마 ,,,
KXF|항공코드,코로 공항,코로 ,,,
LKB|항공코드,라케바 공항,라케바 ,,,
LBS|항공코드,램버사 공항,램버사 ,,,
LEV|항공코드,레부카 에어필드 공항,레부카 에어필드 ,,,
PTF|항공코드,말로로라이라이 공항,말로로라이라이 ,,,
MNF|항공코드,마나아일랜드 공항,마나아일랜드 ,,,
MFJ|항공코드,모알라 공항,모알라 ,,,
NAN|항공코드,나디 국제공항,나디 ,,,
SUV|항공코드,나우조리 국제공항,나우조리 ,,,
RBI|항공코드,라비 공항,라비 ,,,
RTA|항공코드,포투마 공항,포투마 ,,,
SVU|항공코드,사부사부 공항 ,사부사부 ,우타파우,,
TVU|항공코드,타베우니 아일랜드 공항,타베우니 아일랜드 ,,,
VBV|항공코드,배뉴발래부 공항,배뉴발래부 ,,,
VAU|항공코드,바투쿨라 공항,바투쿨라 ,,,
VTF|항공코드,바튤리 공항,바튤리 ,,,
KAY|항공코드,와카야 공항,와카야 ,,,
AAA|항공코드,아나 공항,아나 ,,,
APK|항공코드,아파타키 공항,아파타키 ,,,
AXR|항공코드,아루투아 공항,아루투아 ,,,
HIX|항공코드,아투오나 공항,아투오나 ,,,
PPT|항공코드,파아 공항,파아 ,,,
FHZ|항공코드,파카히나 공항,파카히나 ,,,
FAV|항공코드,파카라바 공항,파카라바 ,,,
FGU|항공코드,팡가토 공항,팡가토 ,,,
HUH|항공코드,파레 공항,파레 ,,,
HOI|항공코드,하오 공항,하오 ,,,
HHZ|항공코드,히쿠에루 공항,히쿠에루 ,,,
KKR|항공코드,카우쿠라 공항,카우쿠라 ,,,
MKP|항공코드,마케모 공항,마케모 ,,,
XMH|항공코드,머나이 공항,머나이 ,,,
MVT|항공코드,마타이바 공항,마타이바 ,,,
MAU|항공코드,모피티 공항,모피티 ,,,
BOB|항공코드,모투 무테 공항,모투 무테 ,,,
NAU|항공코드,나푸카 공항,나푸카 ,,,
NHV|항공코드,누쿠 히바 공항,누쿠 히바 ,,,
NUK|항공코드,누쿠타바크 공항,누쿠타바크 ,,,
PKP|항공코드,푸카푸카 공항,푸카푸카 ,,,
PUK|항공코드,푸카루아 공항,푸카루아 ,,,
RGI|항공코드,랑지로아 공항,랑지로아 ,,,
REA|항공코드,레아오 아일랜드 공항,레아오 아일랜드 ,,,
RUR|항공코드,루루투 공항,루루투 ,,,
RVV|항공코드,라이바바에 공항 ,라이바바에 ,라이루아,,
TKP|항공코드,타카포토 공항,타카포토 ,,,
TKX|항공코드,타카로아 공항,타카로아 ,,,
TKV|항공코드,타타코토 공항,타타코토 ,,,
MOZ|항공코드,테마에 공항,테마에 ,,,
TTI|항공코드,테티아로아 공항,테티아로아 ,,,
TIH|항공코드,타케하우 공항,타케하우 ,,,
GMR|항공코드,톳트제리 공항,톳트제리 ,,,
TUB|항공코드,투부아이 공항,투부아이 ,,,
UAP|항공코드,우아 파우 공항,우아 파우 ,,,
UAH|항공코드,우아 후카 공항,우아 후카 ,,,
RFP|항공코드,우투로아 공항,우투로아 ,,,
VHZ|항공코드,버히타이 공항,버히타이 ,,,
SUI|항공코드,바부세리 공항,바부세리 ,,,
BUS|항공코드,바투미 공항,바투미 ,,,
KUT|항공코드,코핏나리 공항,코핏나리 ,,,
TBS|항공코드,트빌리시 국제공항 ,트빌리시 ,노보,알렉세이프카,
GUM|항공코드,안토니오 보르냐 원 팟 국제공항,안토니오 보르냐 원 팟 ,,,
HKG|항공코드,홍콩 국제공항  ,홍콩 ,첵랍콕,,
AGX|항공코드,아가티 비행장,아가티 비행장,,,
AKD|항공코드,아콜라 공항,아콜라 ,,,
IXV|항공코드,알롱 공항,알롱 ,,,
LKO|항공코드,아마우시 공항,아마우시 ,,,
IXB|항공코드,바그도그라 공항,바그도그라 ,,,
IXE|항공코드,바즈페 공항,바즈페 ,,,
RGH|항공코드,발루갓 공항,발루갓 ,,,
IXD|항공코드,밤라울리 공항,밤라울리 ,,,
TCR|항공코드,투티코린 공항,투티코린 ,,,
HYD|항공코드,라지브간디 국제공항 ,라지브간디 ,하이데라바드,,
BEP|항공코드,벨라리 공항,벨라리 ,,,
BHU|항공코드,바브하가 공항,바브하가 ,,,
BUP|항공코드,비자냐 공군기지,비자냐 공군기지,,,
BHO|항공코드,라자 보 공항 ,라자 보 ,보팔,,
KUU|항공코드,분타르 공항,분타르 ,,,
BBI|항공코드,비주 타르나익 공항 ,비주 타르나익 ,부다네스와,,
PAB|항공코드,빌라스푸르 공항,빌라스푸르 ,,,
IXR|항공코드,버사 문다 공항,버사 문다 ,란치,,
GAU|항공코드,보리쟈 공항,보리쟈 ,,,
CCJ|항공코드,칼리컷 국제공항  ,칼리컷 ,카리푸르,,
CBD|항공코드,카니코바 공군기지,카니코바 공군기지,,,
DIB|항공코드,츄부아 공항,츄부아 ,,,
KNU|항공코드,챠케리 공군기지,챠케리 공군기지,,,
IXC|항공코드,찬디가르 공항,찬디가르 ,,,
MAA|항공코드,첸나이 국제공항,첸나이 ,,,
BOM|항공코드,채해트라피티 시버지 국제공항,채해트라피티 시버지 ,,,
IXU|항공코드,티칼타나 공항,티칼타나 ,,,
COK|항공코드,코친 국제공항,코친 ,,,
COH|항공코드,쿠치베하 공항,쿠치베하 ,,,
CDP|항공코드,쿠다파 공항,쿠다파 ,,,
GOI|항공코드,다보림 공항,다보림 ,,,
NMB|항공코드,담만 공항,담만 ,,,
DAE|항공코드,다파리조 공항,다파리조 ,,,
DEP|항공코드,데파리조 공항,데파리조 ,,,
IDR|항공코드,데비 아힐야바이 홀카 국제공항 ,데비 아힐야바이 홀카 ,인도레,,
DBD|항공코드,단바드 공항,단바드 ,,,
DMU|항공코드,디마푸르 공항,디마푸르 ,,,
DIU|항공코드,디우 공항,디우 ,,,
DHM|항공코드,개갈 공항,개갈 ,,,
IXY|항공코드,간디햄 ,간디햄 ,칸들라,,
ISK|항공코드,간디나가르 공항,간디나가르 ,,,
GAY|항공코드,가야 공항,가야 ,,,
GOP|항공코드,고라크푸르 공군기지,고라크푸르 공군기지,,,
JGA|항공코드,고바르단푸르 공항,고바르단푸르 ,,,
GUX|항공코드,구나 공항,구나 ,,,
GWL|항공코드,관리오르 공항  ,관리오르 ,마해라즈퍼 공군기지,,
HSS|항공코드,히사르 공항,히사르 ,,,
HBX|항공코드,후블리,후블리,,,
IMF|항공코드,임팔 시공항,임팔 시,,,
DEL|항공코드,인디라 간디 국제공항,인디라 간디 ,,,
JLR|항공코드,자발푸르 공항,자발푸르 ,,,
JGB|항공코드,자그달푸르 공항,자그달푸르 ,,,
JSA|항공코드,자이살머 공항,자이살머 ,,,
PYB|항공코드,제이포르 공항,제이포르 ,,,
JDH|항공코드,조드푸르 공항,조드푸르 ,,,
DED|항공코드,졸리 그란트 공항,졸리 그란트 ,,,
IXK|항공코드,저너가더 공항,저너가더 ,케쇼드,,
IXH|항공코드,카일라샤하 공항,카일라샤하 ,,,
IXQ|항공코드,카말푸르 공항,카말푸르 ,,,
KNU|항공코드,칸푸르 공항,칸푸르 ,,,
HJR|항공코드,카주라호 공항,카주라호 ,,,
AGR|항공코드,케리아 공항 ,케리아 ,애본,파크,
IXN|항공코드,코와이 공항,코와이 ,,,
KLH|항공코드,콜하푸르 공항,콜하푸르 ,,,
KTU|항공코드,코타 공항,코타 ,,,
IXS|항공코드,쿰비히그람 공항,쿰비히그람 ,,,
IXL|항공코드,레 공군기지,레 공군기지,,,
IXI|항공코드,릴라바리 공항,릴라바리 ,,,
PNQ|항공코드,로헤가온 공항,로헤가온 ,,,
PAT|항공코드,록 나약 자야 프라카쉬 나라얀 공항 ,록 나약 자야 프라카쉬 나라얀 ,파트나,,
IXM|항공코드,마두라이 공항,마두라이 ,,,
LDA|항공코드,말다 공항,말다 ,,,
DIB|항공코드,모한바리 공항,모한바리 ,,,
MZU|항공코드,무자파르푸르 공항,무자파르푸르 ,,,
MYQ|항공코드,마이소르 공항,마이소르 ,,,
BKN|항공코드,날 공군기지,날 공군기지,,,
NDC|항공코드,난데드 공항,난데드 ,,,
CCU|항공코드,네타지 쉽하스 챤드라 공항,네타지 쉽하스 챤드라 ,,,
NVY|항공코드,니벨리 공항,니벨리 ,,,
PGH|항공코드,판트니가르 공항,판트니가르 ,,,
IXT|항공코드,파씨갓 공항,파씨갓 ,,,
IXP|항공코드,패단콧 공군기지,패단콧 공군기지,,,
CJB|항공코드,필라메두 공항,필라메두 ,,,
PNY|항공코드,퐁디셰리 공항,퐁디셰리 ,,,
PBD|항공코드,포르반다르 공항,포르반다르 ,,,
PUT|항공코드,푸타파티 공항,푸타파티 ,,,
RPR|항공코드,라이푸르 공항,라이푸르 ,,,
ATQ|항공코드,라자 산시 공항,라자 산시 ,,,
RJA|항공코드,라자문드리 공항,라자문드리 ,,,
RAJ|항공코드,라지코트 시빌 공항,라지코트 시빌 ,,,
RTC|항공코드,라트나지리 공항,라트나지리 ,,,
RRK|항공코드,루켈라 공항,루켈라 ,,,
JRH|항공코드,로우리앗 공항,로우리앗 ,,,
BHJ|항공코드,룬드라 마타 공항,룬드라 마타 ,,,
LUH|항공코드,사네왈 공항,사네왈 ,,,
SXV|항공코드,세일럼 공항,세일럼 ,,,
IXG|항공코드,삼브르 공항,삼브르 ,,,
JAI|항공코드,상그니어 공항,상그니어 ,,,
AMD|항공코드,사다르 발랍하이 파텔 국제공항 ,사다르 발랍하이 파텔 ,아메다바드,,
TNI|항공코드,사트나 공항,사트나 ,,,
IXJ|항공코드,사트와리 공항,사트와리 ,,,
SHL|항공코드,실롱 공항,실롱 ,,,
SLV|항공코드,심라 공항,심라 ,,,
SSE|항공코드,솔라푸르 공항,솔라푸르 ,,,
IXA|항공코드,싱거힐 공항,싱거힐 ,,,
IXW|항공코드,소나리 공항,소나리 ,,,
NAG|항공코드,암베드카 국제공항 ,암베드카 ,소네가온,,
PUT|항공코드,스리 사티야 사이 공항,스리 사티야 사이 ,,,
SXR|항공코드,스리나가르 공군기지,스리나가르 공군기지,,,
STV|항공코드,수라트 공항,수라트 ,,,
TJV|항공코드,탄조레 공군기지,탄조레 공군기지,,,
TEZ|항공코드,테즈퍼 공항 ,테즈퍼 ,살로니바리,,
TRV|항공코드,트리반드럼 국제공항,트리반드럼 ,,,
TRZ|항공코드,티룬치라팔리 시빌 공항,티룬치라팔리 시빌 ,,,
TIR|항공코드,티루파티 공항,티루파티 ,,,
AJL|항공코드,투리알 공군기지,투리알 공군기지,,,
UDR|항공코드,마하나라 프라탑 공항 ,마하나라 프라탑 ,우디퍼,,
BDQ|항공코드,바도다라 공항 ,바도다라 ,바도다라 공군기지,,
VNS|항공코드,라이 바하두르 샤스트리 공항 ,라이 바하두르 샤스트리 ,바라나시,,
VGA|항공코드,비쟈와와다 공항,비쟈와와다 ,,,
IXZ|항공코드,버 사바카르 ,버 사바카르 ,포트블레어,,
VTZ|항공코드,비샤카파트남 공항,비샤카파트남 ,,,
WGC|항공코드,와랑갈 공항,와랑갈 ,,,
YLK|항공코드,얄라행카 공군기지,얄라행카 공군기지,,,
ZER|항공코드,제로 공항,제로 ,,,
BLR|항공코드,벵갈루루 국제공항,벵갈루루 ,,,
MLG|항공코드,압둘 라흐만 살레 공항,압둘 라흐만 살레 ,,,
RSK|항공코드,아브레소 공항,아브레소 ,,,
SRG|항공코드,아츠마드 야니 공항,아츠마드 야니 ,,,
SOC|항공코드,아디 수마르모 국제공항,아디 수마르모 ,,,
JOG|항공코드,아디숫집토 공항,아디숫집토 ,,,
AEG|항공코드,아엑 고당 공항,아엑 고당 ,,,
